ITEMID,ITEMNAME,VEHICLETYPE,ITEMBRAND,LISTPRICE,DISCOUNT
STD-5100,CHAIN SPROCKET SET ,HH/SS,STANDARD GOLD,605,45
STD-5101,CHIAIN SPROCKET SET,SPLENDER O/M,STANDARD GOLD,605,45
STD-5102,CHAIN SPROCKET SET,PASSION,STANDARD GOLD,605,45
STD-001,TIMING GEAR OF 4 W/CHAIN,HH,SG,286,43
STD-002,TIMING GEAR SET (SET OF 4),HH,SG,165.1,43
STD-002A,TIMING GEAR SET(SET OF 3),HH,SG,127.4,43
STD-003,TIMING KIT(SET OF 2),KB-4S,SG,84.5,43
STD-003A,TIMING KIT(SET OF 3),KB-4S,SG,123.5,43
STD-004,TIMING KIT(SET OF 3),PULSAR,SG,130,43
STD-004A,TIMING KIT(SET OF 3),DISCOVER /DTSI,SG,130,43
STD-004B,TIMING KIT(SET OF 3),CT-100,SG,149.5,43
STD-005,TIMING KIT(SET OF 3),CBZ/AMBITION,SG,149.5,43
STD-005A,TIMING KIT(SET OF 3),S-SPL/GLAMR,SG,123.5,43
898,SILENCER CLUMP WITH BOLT CP,B.M-80,S W,25,35
853,CRONO GEAR,B.M-80,S W,287.5,35
852,CLUTCH (ENGINE) GEAR ,B-M-80,S W,260,35
145,KICK SHAFT DLX,RAJDOOT,SW,117.5,35
1322,WASHER PLAIN THICK NO.10(6.MM),COMMON ITEM,SW,0.99,35
1329,WASHER PLAIN STUPNY BIG NO.10 (6MM),COMMON ITEM,SW ,1.25,35
1324,WASHER PLAIN THICK NO 14(8MM),COMMON,SW,0.625,35
NEW-034102,CLUTCH SD.LIVER,HH,NEWIN,71.88,43
NEW-034104,"CLUTCH,BRK&LEVER",CBZ,NEWIN,87.24,43
NEW-034105,"CLUTCH,BRK&LEVER",AMBI/CBZ,NEWIN,89.4,43
NEW-034204,"CLUTCH,BRK&LEVER",MAX100,NEWIN,67.56,43
NEW-034207,"CLUTCH,BRK&LEVER",VICTOR,NEWIN,80.4,43
NEW-034210,"CLUTCH,BRK&LEVER",APACHE-RTR,NEWIN,119.88,43
NEW-034255,"CLUTCH,BRK&LEVER",PLSR,NEWIN,100.2,43
NEW-034701,"CLUTCH,BRK&LEVER",SCOOTY,NEWIN,66,43
NEW-034702,"CLUTCH,BRK&LEVER",NEW-SCOOTY,NEWIN,66,43
NEW-034704,"CLUTCH,BRK&LEVER",PEP,NEWIN,63.6,43
NEW-040104,FR-FT-RSET LEFT,SPL,NEWIN,46.2,43
NEW-040105,FR-FT-RSET RIGHT,SPL,NEWIN,46.2,43
NEW-042201,FR-FT-RSET ROD+RUB,SUZUKI,NEWIN,239.88,43
NEW-042206@,FR-FT-RSET ROD+RUB,STAR-CITY,NEWIN,261.6,43
NEW-042207,FR-FT-RSET ROD+RUB,CENTRA,NEWIN,264,43
NEW-042252@,FR-FT-RSET ROD+RUB,KB-4S,NEWIN,290.04,43
NEW-042258,FR-FT-RSET ROD+RUB,DISC-125CC,NEWIN,261.6,43
NEW-042402,FR-FT-RSET ROD+RUB,FREEDOM,NEWIN,270,43
NEW-046103,GEAR/LEVER,SPLENDER,NEWIN,152.52,43
NEW-046201,GEAR/LEVER,SUZUKI,NEWIN,100.2,43
NEW-046203,GEAR/LEVER,VICTOR-GL,NEWIN,146.04,43
NEW-048101,GEAR SHAFT ASSY,HH,NEWIN,152.64,43
NEW-048201,GEAR SHAFT+LEV+SPR,SUZUKI,NEWIN,174.48,43
NEW-048252,GEAR SHAFT+LEV,KB-4S,NEWIN,152.64,43
NEW-049102@,HNDLE BAR,SPL,NEWIN,186,43
NEW-049253,HANDLE BAR,CT-100,NEWIN,186,43
NEW-052101,HANDLE-T,CD-DAWN,NEWIN,479.88,43
NEW-052209,HANDLE-T,TVS STAR,NEWIN,479.88,43
NEW-053151,CLUTCH YOKE,RX-100,NEWIN,33.6,43
NEW-053152,BRAKE YOKE,RX-100,NEWIN,33.6,43
NEW-053252,BRAKE YOKE,BOXER/4S/KB-100,NEWIN,33.6,43
NEW-053952,CLUTCH YOKE,RAJDOOT,NEWIN,36.6,43
NEW-058102,KICK BOSS+LOCK KIT,SPL/PASSION,NEWIN,71.88,43
NEW-058203,KICK BOSS+LOCK KIT,TVS CENTRA,NEWIN,102.36,43
NEW-058253,KICK BOSS+LOCK KIT,CALIBR,NEWIN,41.4,43
NEW-058451,KICK BOX+LOCK KIT,BYK/M80-MAJOR,NEWIN,71.88,43
NEW-060102,KICK LIVER,SPL/PASSION,NEWIN,222.48,43
NEW-060201,KICK LEVER,TVS SUZUKI,NEWIN,218.04,43
NEW-062103,MAIN TUBE ,SPL/PASSION,NEWIN,654,43
NEW-062255,MAIN TUBE,PLSR-150+180,NEWIN,654,43
